"Timestamp","Rate Avengers: Endgame (2019)","Rate The Lion King (2019)","Rate Joker (2019)","Rate Everything Everywhere All at Once (2022)","Rate The Matrix Resurrections (2021)","Rate King Richard (2021)"
"2023/01/31 11:20:20 AM PST","5 - I immediately saw it again","1 - Time I can't get back, now who owes me money?","4 - I could see myself watching it again","3 - It was average","2 - It had some good moments, but I would avoid watching it again","4 - I could see myself watching it again"
"2023/01/31 11:23:26 AM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average","3 - It was average","2 - It had some good moments, but I would avoid watching it again","3 - It was average"
"2023/01/31 11:27:57 AM PST","3 - It was average","3 - It was average","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it","4 - I could see myself watching it again"
"2023/01/31 11:28:25 AM PST","4 - I could see myself watching it again","5 - I immediately saw it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:28:38 AM PST","5 - I immediately saw it again","5 - I immediately saw it again","4 - I could see myself watching it again","4 - I could see myself watching it again","5 - I immediately saw it again","4 - I could see myself watching it again"
"2023/01/31 11:29:26 AM PST","3 - It was average","4 - I could see myself watching it again","5 - I immediately saw it again","3 - It was average","3 - It was average","4 - I could see myself watching it again"
"2023/01/31 11:29:50 AM PST","5 - I immediately saw it again","[N/A] I have not seen it","5 - I immediately saw it again","5 - I immediately saw it again","1 - Time I can't get back, now who owes me money?","4 - I could see myself watching it again"
"2023/01/31 11:30:17 AM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:33:08 AM PST","5 - I immediately saw it again","5 - I immediately saw it again","3 - It was average","5 - I immediately saw it again","1 - Time I can't get back, now who owes me money?","3 - It was average"
"2023/01/31 11:34:29 AM PST","5 - I immediately saw it again","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it","2 - It had some good moments, but I would avoid watching it again","[N/A] I have not seen it"
"2023/01/31 11:35:07 AM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","4 - I could see myself watching it again","5 - I immediately saw it again","[N/A] I have not seen it","[N/A] I have not seen it"
